Obs,Shark_ID,lon,lat,Month,Day,Year,Season
387,68486,-79.45993206,31.96447384,4,15,2011,Cold
388,68486,-79.73212377,31.82942228,4,16,2011,Cold
389,68486,-80.3280473,31.66666341,4,17,2011,Cold
390,68486,-81.12014893,31.2735403,4,18,2011,Cold
391,68486,-80.92090683,31.52816229,4,19,2011,Cold
392,68486,-80.46933685,31.67859648,4,20,2011,Cold
393,68486,-80.1533326,31.44239345,4,21,2011,Cold
394,68486,-79.33455458,31.41814264,4,22,2011,Cold
395,68486,-78.58677054,31.47058911,4,23,2011,Cold
396,68486,-78.98738594,30.83760248,4,24,2011,Cold
397,68486,-79.80742522,31.29358163,4,25,2011,Cold
398,68486,-79.46432818,32.07382734,4,26,2011,Cold
399,68486,-79.62684445,32.60751036,4,27,2011,Cold
400,68486,-80.18769236,32.28804156,4,28,2011,Cold
401,68486,-80.56126754,32.01723384,4,29,2011,Cold
402,68486,-80.52164713,31.98093913,4,30,2011,Cold
403,68486,-80.43846286,31.9544731,5,1,2011,Warm
404,68486,-80.55872139,31.84506876,5,2,2011,Warm
405,68486,-80.37907354,31.89367297,5,3,2011,Warm
406,68486,-80.3154245,31.76333932,5,4,2011,Warm
407,68486,-80.35304699,31.27050907,5,5,2011,Warm
408,68486,-80.62082597,31.44218789,5,6,2011,Warm
409,68486,-80.69453701,31.3094361,5,7,2011,Warm
410,68486,-80.92195261,31.33491951,5,8,2011,Warm
411,68486,-80.88306682,31.3873932,5,9,2011,Warm
412,68486,-80.70986313,31.90955214,5,10,2011,Warm
413,68486,-80.61367303,31.88127242,5,11,2011,Warm
414,68486,-80.37548508,31.52639942,5,12,2011,Warm
415,68486,-80.48392249,31.37461752,5,13,2011,Warm
416,68486,-80.6262116,31.35781312,5,14,2011,Warm
417,68486,-80.76891723,31.30609156,5,15,2011,Warm
418,68486,-80.8778991,31.2483783,5,16,2011,Warm
419,68486,-80.92239552,31.20456584,5,17,2011,Warm
420,68486,-80.87164481,31.1945794,5,18,2011,Warm
421,68486,-80.69488528,31.23832615,5,19,2011,Warm
422,68486,-80.37071873,31.35157618,5,20,2011,Warm
423,68486,-80.23579337,31.59332958,5,21,2011,Warm
424,68486,-80.61406765,31.97670351,5,22,2011,Warm
425,68486,-80.79375885,31.8680265,5,23,2011,Warm
426,68486,-80.75075976,31.77172789,5,24,2011,Warm
427,68486,-80.59903008,31.76101519,5,25,2011,Warm
428,68486,-80.38701635,31.79961363,5,26,2011,Warm
429,68486,-80.13037393,31.87466958,5,27,2011,Warm
430,68486,-79.84475821,31.97331566,5,28,2011,Warm
431,68486,-79.54781298,32.08109171,5,29,2011,Warm
432,68488,-79.07569744,26.78859261,2,21,2011,Cold
433,68488,-79.06456647,26.87697707,2,22,2011,Cold
434,68488,-79.06201273,26.93241408,2,23,2011,Cold
435,68488,-79.07749019,26.90351451,2,24,2011,Cold
436,68488,-79.09545264,26.85522316,2,25,2011,Cold
437,68488,-79.10082554,26.85038011,2,26,2011,Cold
438,68488,-79.1025822,26.87264061,2,27,2011,Cold
439,68488,-79.07484332,26.91412716,2,28,2011,Cold
440,68488,-78.96335984,26.91685829,3,1,2011,Cold
441,68488,-78.90601786,26.90325836,3,2,2011,Cold
442,68488,-79.05094779,26.89949764,3,3,2011,Cold
443,68488,-79.50726621,26.92834444,3,4,2011,Cold
444,68488,-79.44188196,26.96050121,3,5,2011,Cold
445,68488,-78.77798583,26.97430997,3,6,2011,Cold
446,68488,-78.39154974,26.97848253,3,7,2011,Cold
447,68488,-78.19368305,26.97675364,3,8,2011,Cold
448,68488,-78.14839303,26.97061512,3,9,2011,Cold
449,68488,-78.21968692,26.96155844,3,10,2011,Cold
450,68488,-78.37157197,26.95107526,3,11,2011,Cold
451,68488,-78.56805542,26.94065767,3,12,2011,Cold
452,68488,-78.77314454,26.93179831,3,13,2011,Cold
453,68488,-78.95084657,26.92599022,3,14,2011,Cold
454,68488,-79.06705343,26.92459044,3,15,2011,Cold
455,68488,-79.0836363,26.92923788,3,16,2011,Cold
